iter	Passed	Remaining
427	7768	10382
428	7784	10361
429	7800	10340
430	7815	10318
431	7831	10297
432	7846	10275
433	7862	10254
434	7878	10232
435	7894	10211
436	7910	10191
437	7926	10170
438	7942	10149
439	7957	10128
440	7973	10106
441	7989	10085
442	8005	10065
443	8021	10044
444	8036	10023
445	8052	10002
446	8069	9983
447	8085	9962
448	8102	9942
449	8118	9922
450	8134	9901
451	8150	9881
452	8168	9863
453	8184	9842
454	8199	9821
455	8215	9801
456	8231	9780
457	8246	9759
458	8262	9738
459	8278	9718
460	8294	9698
461	8310	9677
462	8326	9657
463	8342	9637
464	8358	9616
465	8373	9595
466	8389	9574
467	8405	9554
468	8421	9534
469	8436	9514
470	8452	9493
471	8467	9471
472	8483	9452
473	8499	9431
474	8515	9411
475	8530	9391
476	8546	9370
477	8562	9350
478	8578	9330
479	8594	9310
480	8610	9290
481	8625	9269
482	8641	9249
483	8657	9229
484	8672	9209
485	8693	9194
486	8712	9177
487	8727	9157
488	8747	9141
489	8763	9120
490	8782	9104
491	8797	9083
492	8813	9063
493	8829	9044
494	8844	9023
495	8860	9003
496	8876	8984
497	8893	8964
498	8914	8949
499	8934	8934
500	8955	8919
501	8976	8904
502	8996	8889
503	9017	8874
504	9034	8855
505	9050	8836
506	9068	8817
507	9084	8798
508	9101	8779
509	9117	8760
510	9134	8740
511	9150	8721
512	9166	8701
513	9183	8682
514	9200	8664
515	9218	8646
516	9236	8629
517	9257	8613
518	9274	8595
519	9291	8577
520	9308	8557
521	9324	8538
522	9340	8519
523	9356	8499
524	9373	8480
525	9388	8460
526	9405	8441
527	9421	8422
528	9436	8402
529	9456	8385
530	9472	8366
531	9488	8347
532	9504	8327
533	9521	8308
534	9536	8289
535	9552	8269
536	9568	8249
537	9583	8229
538	9599	8210
539	9615	8191
540	9631	8171
541	9648	8152
542	9662	8132
543	9677	8112
544	9693	8092
545	9708	8072
546	9724	8053
547	9739	8033
548	9754	8013
549	9769	7993
550	9784	7973
551	9799	7953
552	9814	7933
553	9829	7913
554	9844	7893
555	9859	7873
556	9874	7853
557	9890	7834
558	9905	7814
559	9923	7797
560	9943	7781
561	9958	7761
562	9974	7742
563	9991	7723
564	10007	7704
565	10023	7685
566	10039	7666
567	10055	7647
568	10071	7628
569	10087	7610
570	10104	7591
571	10120	7572
572	10136	7553
573	10154	7536
574	10170	7517
575	10187	7498
576	10203	7480
577	10219	7461
578	10235	7442
579	10251	7423
580	10267	7404
581	10284	7386
582	10300	7367
583	10317	7349
584	10333	7330
585	10349	7311
586	10365	7293
587	10382	7274
588	10398	7255
589	10414	7237
590	10430	7218
591	10447	7200
592	10463	7181
593	10479	7162
594	10495	7144
595	10511	7125
596	10527	7106
597	10543	7088
598	10559	7069
599	10575	7050
600	10592	7032
601	10608	7013
602	10623	6994
603	10639	6975
604	10655	6956
605	10671	6938
606	10687	6919
607	10703	6901
608	10721	6883
609	10737	6864
610	10753	6846
611	10770	6828
612	10786	6809
613	10802	6791
614	10818	6772
615	10834	6754
616	10850	6735
617	10866	6716
618	10883	6698
619	10900	6680
620	10916	6662
621	10931	6643
622	10948	6625
623	10964	6606
624	10980	6588
625	10996	6569
626	11012	6551
627	11028	6532
628	11045	6514
629	11061	6496
630	11078	6478
631	11094	6459
632	11109	6441
633	11126	6423
634	11143	6405
635	11159	6386
636	11175	6368
637	11191	6349
638	11207	6331
639	11224	6313
640	11239	6295
641	11256	6276
642	11272	6258
643	11288	6240
644	11305	6222
645	11321	6204
646	11337	6185
647	11353	6167
648	11369	6149
649	11385	6130
650	11400	6112
651	11416	6093
652	11432	6075
653	11448	6056
654	11464	6038
655	11480	6020
656	11496	6002
657	11513	5984
658	11529	5965
659	11545	5947
660	11562	5930
661	11578	5911
662	11594	5893
663	11610	5875
664	11627	5857
665	11644	5839
666	11660	5821
667	11677	5803
668	11693	5785
669	11709	5767
670	11724	5748
671	11740	5730
672	11756	5712
673	11772	5694
674	11789	5676
675	11806	5658
676	11822	5640
677	11839	5623
678	11855	5604
679	11872	5586
680	11888	5568
681	11904	5550
682	11921	5533
683	11937	5515
684	11953	5497
685	11970	5479
686	11986	5461
687	12003	5443
688	12019	5425
689	12035	5407
690	12051	5389
691	12068	5371
692	12084	5353
693	12099	5335
694	12116	5317
695	12133	5299
696	12150	5281
697	12166	5263
698	12181	5245
699	12197	5227
700	12213	5209
701	12230	5191
702	12246	5174
703	12262	5156
704	12278	5137
705	12294	5119
706	12310	5101
707	12327	5084
708	12343	5066
709	12359	5048
710	12376	5030
711	12392	5012
712	12408	4994
713	12425	4977
714	12441	4959
715	12458	4941
716	12474	4923
717	12491	4905
718	12506	4887
719	12522	4870
720	12538	4852
721	12555	4834
722	12571	4816
723	12587	4798
724	12604	4780
725	12620	4762
726	12636	4745
727	12651	4726
728	12667	4709
729	12684	4691
730	12701	4673
731	12716	4655
732	12733	4638
733	12750	4620
734	12766	4602
735	12782	4584
736	12799	4567
737	12815	4549
738	12832	4532
739	12848	4514
740	12863	4496
741	12880	4478
742	12896	4460
743	12912	4442
744	12928	4425
745	12944	4407
746	12960	4389
747	12977	4372
748	12994	4354
749	13010	4336
750	13026	4318
751	13042	4301
752	13058	4283
753	13076	4266
754	13092	4248
755	13108	4230
756	13124	4213
757	13140	4195
758	13156	4177
759	13172	4159
760	13189	4142
761	13204	4124
762	13221	4106
763	13238	4089
764	13254	4071
765	13271	4054
766	13288	4036
767	13304	4019
768	13321	4001
769	13337	3983
770	13354	3966
771	13371	3949
772	13387	3931
773	13403	3913
774	13420	3896
775	13437	3878
776	13453	3861
777	13470	3843
778	13487	3826
779	13504	3808
780	13521	3791
781	13537	3773
782	13553	3756
783	13570	3738
784	13586	3721
785	13602	3703
786	13618	3685
787	13634	3668
788	13650	3650
789	13666	3632
790	13682	3615
791	13698	3597
792	13714	3579
793	13730	3562
794	13746	3544
795	13761	3526
796	13778	3509
797	13794	3491
798	13811	3474
799	13828	3457
800	13843	3439
801	13860	3421
802	13877	3404
803	13893	3387
804	13910	3369
805	13925	3351
806	13942	3334
807	13959	3316
808	13976	3299
809	13994	3282
810	14010	3265
811	14026	3247
812	14042	3230
813	14058	3212
814	14075	3195
815	14092	3177
816	14110	3160
817	14127	3143
818	14143	3125
819	14160	3108
820	14176	3090
821	14191	3073
822	14209	3055
823	14225	3038
824	14241	3020
825	14256	3003
826	14273	2985
827	14289	2968
828	14306	2950
829	14323	2933
830	14339	2916
831	14356	2898
832	14371	2881
833	14387	2863
834	14403	2846
835	14420	2828
836	14436	2811
837	14452	2793
838	14468	2776
839	14484	2758
840	14500	2741
841	14517	2724
842	14536	2707
843	14553	2689
844	14569	2672
845	14586	2655
846	14602	2637
847	14619	2620
848	14635	2603
849	14652	2585
850	14668	2568
851	14685	2551
852	14702	2533
853	14719	2516
854	14736	2499
855	14752	2481
856	14769	2464
857	14786	2447
858	14802	2429
859	14819	2412
860	14835	2395
861	14852	2377
862	14868	2360
863	14884	2343
864	14901	2325
865	14917	2308
866	14933	2290
867	14949	2273
868	14965	2255
869	14981	2238
870	14998	2221
871	15013	2203
872	15030	2186
873	15045	2169
874	15061	2151
875	15077	2134
876	15093	2116
877	15109	2099
878	15126	2082
879	15142	2064
880	15158	2047
881	15174	2030
882	15190	2012
883	15206	1995
884	15222	1978
885	15238	1960
886	15254	1943
887	15270	1925
888	15286	1908
889	15302	1891
890	15318	1873
891	15335	1856
892	15351	1839
893	15367	1822
894	15383	1804
895	15399	1787
896	15415	1770
897	15432	1752
898	15448	1735
899	15464	1718
900	15480	1701
901	15496	1683
902	15513	1666
903	15529	1649
904	15545	1631
905	15566	1615
906	15588	1598
907	15609	1581
908	15629	1564
909	15650	1547
910	15671	1531
911	15692	1514
912	15713	1497
913	15734	1480
914	15756	1463
915	15777	1446
916	15798	1429
917	15818	1413
918	15839	1396
919	15859	1379
920	15880	1362
921	15901	1345
922	15923	1328
923	15943	1311
924	15964	1294
925	15985	1277
926	16005	1260
927	16027	1243
928	16043	1226
929	16060	1208
930	16077	1191
931	16093	1174
932	16111	1156
933	16128	1139
934	16144	1122
935	16160	1105
936	16177	1087
937	16192	1070
938	16209	1052
939	16224	1035
940	16244	1018
941	16260	1001
942	16276	983
943	16292	966
944	16308	949
945	16324	931
946	16341	914
947	16357	897
948	16373	879
949	16389	862
950	16406	845
951	16422	828
952	16438	810
953	16454	793
954	16470	776
955	16486	758
956	16502	741
957	16518	724
958	16534	706
959	16551	689
960	16567	672
961	16583	655
962	16599	637
963	16616	620
964	16634	603
965	16650	586
966	16666	568
967	16683	551
968	16699	534
969	16715	516
970	16731	499
971	16747	482
972	16763	465
973	16779	447
974	16796	430
975	16813	413
976	16828	396
977	16844	378
978	16860	361
979	16876	344
980	16892	327
981	16908	309
982	16924	292
983	16940	275
984	16955	258
985	16971	240
986	16988	223
987	17004	206
988	17022	189
989	17039	172
990	17056	154
991	17073	137
992	17089	120
993	17107	103
994	17124	86
995	17141	68
996	17157	51
997	17174	34
998	17190	17
999	17207	0
